id,padrao,motivo,gravidade,resposta
ESC-001,(?i)\b(receit|prescrev|prescriç|posologi)\w*,Prescrição de medicamento é ato médico,bloqueio,Isso é prescrição médica e está fora do que eu posso responder. Encaminhe ao médico responsável.
ESC-002,(?i)\b\d+\s?(mg|mcg|µg|ui|ml)\b,Indicação de dose,bloqueio,Não indico dose. Quem define dose é o profissional prescritor na consulta.
ESC-003,(?i)\b(parar|suspender|trocar|cortar)\s+(o\s+)?(rem[eé]dio|medicamento|medica[cç][aã]o),Suspensão de medicamento é ato médico,bloqueio,Alteração de medicamento só com o médico que prescreveu. Não posso orientar sobre isso.
ESC-004,(?i)\b(tenho|estou com|é)\s+(c[aâ]ncer|diabetes|hipotireoidismo|depress[aã]o|l[uú]pus|tireoidite),Diagnóstico de doença é ato médico,bloqueio,Diagnóstico de doença é do médico. O que eu leio aqui é o mapa dos sistemas — não um diagnóstico clínico.
ESC-005,(?i)\b(curar|cura|trata)\s+(o\s+|a\s+)?(c[aâ]ncer|diabetes|doen[cç]a),Promessa de cura,bloqueio,Não trabalho com promessa de cura. Posso mostrar o que o mapa aponta e quais são os primeiros passos.
ESC-006,(?i)\b(exame de sangue|hemograma|tsh|vitamina d)\b.*\b(interpret|resultado|significa)\w*,Interpretação de exame fora do escopo nutricional,aviso,Posso comentar o que isso significa dentro do mapa dos sistemas. A interpretação clínica do exame é do profissional.
ESC-007,(?i)\b(jejum prolongado|jejum de \d+ dias|dieta de \d+ calorias),Conduta restritiva sem avaliação individual,aviso,Isso depende de avaliação individual. Não dá para responder sem a nutricionista olhar o caso.
ESC-008,(?i)\b(tratar|curar|reverter|melhorar)\s+(o\s+|a\s+)?(hipotireoidismo|tireoidite|diabetes|c[aâ]ncer|l[uú]pus|artrite|artrose|depress[aã]o|endometriose|sibo|gastrite|refluxo|enxaqueca),Conduta terapêutica para doença é ato médico,bloqueio,Tratamento de doença é conduta médica. Posso falar do que o método diz sobre o terreno; o tratamento é com o médico.
ESC-009,"(?i)\b(qual|quanto|quantos|quantas)\b.{0,30}\b(dose|dosagem|posologia|comprimido|c[aá]psula)",Pedido de dose,bloqueio,Não indico dose. Quem define dose é o profissional prescritor na consulta.
ESC-010,(?i)\b(pode|posso|devo)\s+(tomar|usar|suplementar)\b,Pedido de indicação de suplemento ou medicamento,aviso,Indicação individual é da nutricionista na consulta. Posso dizer o que o método diz sobre esse sistema.
ESC-011,"(?i)\b(quanto|quanta|quantos|quantas)\b(?!\s+tempo)\b.{0,40}\b(tomar|tomo|ingerir|suplementar)\b",Pedido de quantidade a ingerir — é prescrição,bloqueio,"Quantidade de medicamento ou suplemento é prescrição, e isso é com quem prescreve. Posso falar do padrão alimentar por trás da queixa."
