id,sintoma,sinonimos,sistema,peso,pergunta,fonte,status
SNT-101,vontade intensa e recorrente de doce,fissura por açúcar;desejo de carboidrato,fungico,2,Você sente vontade forte de doce ou pão quase todo dia?,rascunho-literatura-funcional,rascunho
SNT-102,distensão abdominal após refeição,barriga estufada;inchaço depois de comer;gases,fungico,3,Sua barriga incha ou dá gases depois das refeições?,rascunho-literatura-funcional,rascunho
SNT-103,língua com saburra branca,língua branca;placa na língua,fungico,3,Sua língua costuma ter uma camada esbranquiçada?,rascunho-literatura-funcional,rascunho
SNT-104,candidíase de repetição,corrimento;candidíase oral;sapinho,fungico,3,Você tem candidíase ou sapinho com frequência?,rascunho-literatura-funcional,rascunho
SNT-105,micose recorrente,frieira;pé de atleta;micose de unha,fungico,3,Você tem micose de pele ou unha que volta sempre?,rascunho-literatura-funcional,rascunho
SNT-106,coceira anal ou genital,prurido,fungico,2,Você sente coceira na região íntima ou anal?,rascunho-literatura-funcional,rascunho
SNT-107,névoa mental após carboidrato,cabeça pesada;confusão depois de comer,fungico,2,Sua cabeça fica pesada ou confusa depois de comer massa ou doce?,rascunho-literatura-funcional,rascunho
SNT-108,caspa ou coceira no couro cabeludo,dermatite seborreica,fungico,1,Você tem caspa ou coceira no couro cabeludo com frequência?,rascunho-literatura-funcional,rascunho
SNT-109,histórico de uso repetido de antibiótico,muitos antibióticos,fungico,2,Você tomou antibiótico muitas vezes ao longo da vida?,rascunho-literatura-funcional,rascunho
SNT-110,intolerância a álcool,fica mal com pouca bebida,fungico,2,Você passa mal com pouca bebida alcoólica?,rascunho-literatura-funcional,rascunho
SNT-111,sinusite ou rinite crônica,nariz entupido sempre,fungico,1,Você vive com nariz entupido ou sinusite?,rascunho-literatura-funcional,rascunho
SNT-201,dor articular sem esforço,dor nas juntas;dor sem ter feito nada,acido_inflamatorio,3,Você sente dor nas articulações mesmo sem ter feito esforço?,rascunho-literatura-funcional,rascunho
SNT-202,rigidez ao acordar,corpo travado de manhã,acido_inflamatorio,3,Você acorda com o corpo travado que leva um tempo para soltar?,rascunho-literatura-funcional,rascunho
SNT-203,dor muscular difusa,corpo dolorido;fibromialgia,acido_inflamatorio,2,Você sente o corpo dolorido sem causa clara?,rascunho-literatura-funcional,rascunho
SNT-204,queimação estomacal,azia;refluxo;queimação no peito,acido_inflamatorio,2,Você sente azia ou queimação no estômago?,rascunho-literatura-funcional,rascunho
SNT-205,dor de cabeça frequente,cefaleia;enxaqueca,acido_inflamatorio,2,Você tem dor de cabeça mais de uma vez por semana?,rascunho-literatura-funcional,rascunho
SNT-206,pele inflamada,acne inflamatória;eczema;psoríase,acido_inflamatorio,2,Sua pele tem crises de acne inflamada eczema ou psoríase?,rascunho-literatura-funcional,rascunho
SNT-207,gengiva que sangra,sangramento gengival;gengivite,acido_inflamatorio,2,Sua gengiva sangra ao escovar?,rascunho-literatura-funcional,rascunho
SNT-208,piora clara com ultraprocessado,fica pior comendo besteira,acido_inflamatorio,2,Você percebe que piora quando come ultraprocessado ou açúcar?,rascunho-literatura-funcional,rascunho
SNT-209,inchaço nas mãos ao acordar,dedos inchados de manhã;anel apertando,acido_inflamatorio,2,Suas mãos ou dedos amanhecem inchados?,rascunho-literatura-funcional,rascunho
SNT-210,marcador inflamatório alterado no exame,PCR alta;VHS alto,acido_inflamatorio,3,Seus exames mostram PCR ou VHS acima do normal?,rascunho-literatura-funcional,rascunho
SNT-301,sonolência forte depois do almoço,apagão pós-almoço;sono depois de comer,metabolico,3,Você fica com muito sono logo depois do almoço?,rascunho-literatura-funcional,rascunho
SNT-302,vontade intensa e recorrente de doce,fissura por açúcar;desejo de carboidrato,metabolico,3,Você sente vontade forte de doce ou pão quase todo dia?,rascunho-literatura-funcional,rascunho
SNT-303,fome pouco tempo depois de comer,fome rápida;come e logo tem fome,metabolico,3,Você sente fome de novo pouco tempo depois de ter comido?,rascunho-literatura-funcional,rascunho
SNT-304,compulsão ou beliscar à noite,come depois do jantar;assalta a geladeira,metabolico,3,Você come depois do jantar mesmo sem fome real?,rascunho-literatura-funcional,rascunho
SNT-305,acúmulo de gordura abdominal,barriga;cintura aumentando,metabolico,3,Sua gordura se concentra na barriga?,rascunho-literatura-funcional,rascunho
